20010,0,ｵｳ ﾉ ﾋﾛﾏ,King's Hall,王の広間,"King's reception hall (i.e., throne room)",
20010,1,ｺﾉ ｸﾆ ﾉ ｼﾛ,Castle,,Castle,Lit: This country's castle
20010,2,ｱﾚﾁ,Wasteland,,Wasteland,
20010,3,ｱﾚﾁ,Wasteland,,Wasteland,
20010,4,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20010,5,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20010,6,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20010,7,ｶｲﾄﾞｳ ﾉ ﾁｬﾐｾ,Tea House,街道の茶店,Roadside tea house,
20010,8,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20010,9,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20010,10,ｶｲﾄﾞｳ,Road,街道 ,Highway,
20020,0,ﾐｽﾞｳﾐ 'Lake of JOKER',Lake of Joker,,Lake of Joker,"Lit: The Lake ""Lake of Joker"""
20020,1,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20020,2,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20020,3,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20020,4,ﾓﾘ ﾉ ｺﾐﾁ,Forest Road,,Forest Road,A path in the forest
20020,5,ﾋﾗｹﾀ ﾄｺﾛ,Open Space,,Open Space,
20020,6,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20020,7,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20020,8,ﾘﾝｺﾞ ﾉ ﾓﾘ,Apple Forest,,Apple Forest,A forest of Apple trees
20030,0,ｾｾﾗｷﾞ,Stream,,Stream,A small stream; could also mean the sound of water
20030,1,ｶﾚﾊ ﾉ ﾌｷﾀﾞﾏﾘ,Drift of Leaves,,Drift of Leaves,
20030,2,ﾌﾞﾅ ﾉ ﾓﾘ,Beech Forest,,Beech Forest,
20030,3,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20030,4,ﾔﾌﾞ ﾉ ﾅｶ,In a thicket,,In a thicket,Inside some thick scrubs
20030,5,ﾓﾘ ﾉ ｺﾐﾁ,Forest Road,,Forest Road,A path in the forest
20030,6,ﾌﾞﾅ ﾉ ﾓﾘ,Beech Forest,,Beech Forest,
20030,7,ｶｼ ﾉ ﾓﾘ,Oak Forest,,Oak Forest,
20040,0,ｻﾊﾞｸ,Desert,,Desert,
20040,1,ｻﾊﾞｸ,Desert,,Desert,
20040,2,ｻﾊﾞｸ,Desert,,Desert,
20040,3,ｻﾊﾞｸ,Desert,,Desert,
20040,4,ｻﾊﾞｸ,Desert,,Desert,
20040,5,ｻﾊﾞｸ,Desert,,Desert,
20050,0,ｺｳｹﾞﾝ,Plateau,,Plateau,
20050,1,ｺｳｹﾞﾝ,Plateau,,Plateau,
20050,2,ｺｳｹﾞﾝ,Plateau,,Plateau,
20050,3,ｺｳｹﾞﾝ,Plateau,,Plateau,
20050,4,ｽﾐﾚ ﾊﾞﾀｹ,Violet Garden,,Violet Garden,Could mean simply a field of violet flowers
20050,5,ﾄﾞｳｸﾂ ﾉ ｲﾘｸﾞﾁ,Cave Entrance,,Cave Entrance,
20050,6,ｺｳｹﾞﾝ,Plateau,,Plateau,
20050,7,ｵﾊﾅ ﾊﾞﾀｹ,Flower Garden,,Flower Garden,Could mean simply a field of flowers
20050,8,ｵｶ 'Dusty Hills',Dusty Hills,,Dusty Hills,"Lit: The Hill ""Dusty Hills"""
20050,9,ﾔﾏﾉ ﾌﾓﾄ,Bottom of the Mountain,,Bottom of the Mountain,
20060,0,ﾔﾏﾐﾁ,Mountain Road,,Mountain Road,
20060,1,ｲｼﾀﾞﾀﾐ ﾉ ﾐﾁ,Stone Road,,Stone Road,A road paved with stones
20060,2,ﾔﾏｺﾞﾔ ﾉ ﾏｴ,Mountain Hut,,Mountain Hut,In front of a hut on the mountain
20060,3,ﾔﾏ 'Mt.Lu-Fey',Mt. Lu-Fey,,Mt. Lu-Fey,
20060,4,ﾔﾏ 'Mt.Lu-Fey',Mt. Lu-Fey,,Mt. Lu-Fey,
20060,5,ﾔﾏｺﾞﾔ ﾉ ﾅｶ,In the Mountain Hut,,In the Mountain Hut,Inside of the hut on the mountain
20060,6,ｻﾝｿﾞｸ ﾉ ｽﾐｶ,Bandits' House,,Bandits' House,
20060,7,ﾏﾁ 'Ross-Blue Town' ﾉ ﾓﾝ,Ross-Blue Town's Gate,,Ross-Blue Town's Gate,
20070,0,ﾏﾁ ﾉ ｲﾘｸﾞﾁ,Town Entrance,,Town Entrance,
20070,1,3ｻ ﾛ,3-Way Junction,三叉路,,
20070,2,ﾏｶﾞﾘ ｶﾄﾞ,Street Corner,,Street Corner,
20070,3,3ｻ ﾛ,3-Way Junction,三叉路,,
20070,4,3ｻ ﾛ,3-Way Junction,三叉路,,
20070,5,ﾏｶﾞﾘ ｶﾄﾞ,Street Corner,,Street Corner,
20070,6,3ｻ ﾛ,3-Way Junction,三叉路,,
20070,7,3ｻ ﾛ,3-Way Junction,三叉路,,
20070,8,ﾏｶﾞﾘ ｶﾄﾞ,Street Corner,,Street Corner,
20080,0,3ｻ ﾛ,3-Way Junction,三叉路,,
20080,1,3ｻ ﾛ,3-Way Junction,三叉路,,
20080,2,ﾏｶﾞﾘ ｶﾄﾞ,Street Corner,,Street Corner,
20080,3,3ｻ ﾛ,3-Way Junction,三叉路,,
20080,4,ﾖﾂ ｶﾄﾞ,Intersection,,Intersection,4-way Intersection of roads
20080,5,ﾖﾂ ｶﾄﾞ,Intersection,,Intersection,
20080,6,ﾖﾂ ｶﾄﾞ,Intersection,,Intersection,
20080,7,ﾖﾂ ｶﾄﾞ,Intersection,,Intersection,
20090,0,ﾁｭｳｵｳ ﾋﾛﾊﾞ,Central Plaza,,Central Plaza,
20090,1,ﾁｭｳｵｳ ﾋﾛﾊﾞ,Central Plaza,,Central Plaza,
20090,2,ﾁｭｳｵｳ ﾋﾛﾊﾞ,Central Plaza,,Central Plaza,
20090,3,ﾌﾞｷ ﾉ ﾐｾ 'HAYASE',Weapons Shop 'Hayase',,"Weapons Shop ""Hayase""",
20090,4,ｼｮｸﾘｮｳ ﾉ ﾐｾ 'LOCKE',Food Store 'Locke',,"Food Store ""Locke""",
20090,5,ｻｶﾊﾞ 'KOEI',Pub KOEI,,Pub KOEI,
20090,6,ｻﾝｿﾞｸ ﾉ ｱｼﾞﾄ,Bandit Hideout,,Bandit Hideout,
20100,0,EASTSIDE,,,,
20100,1,EASTSIDE-SALT,,,,
20100,2,LUCKY-EASTSIDE,,,,
20100,3,LUCKY-EASTSECOND,,,,
20100,4,LUCKY-WESTSECOND,,,,
20100,5,LUCKY-WESTSIDE,,,,
20100,6,WEST-SALT,,,,
20100,7,WESTSIDE-SHAPE,,,,
20100,8,WESTSIDE-CAT,,,,
20100,9,WESTSECOND-CAT,,,,
20100,10,EASTSECOND-CAT,,,,
20100,11,EASTSIDE-CAT,,,,
20100,12,EASTSIDE-SHAPE,,,,
20110,0,EASTSECOND-SALT-ROYAL,,,,
20110,1,WESTSECOND-SALT-ROYAL,,,,
20110,2,WESTSECOND-SHAPE,,,,
20110,3,EASTSECOND-SHAPE-ROYAL,,,,
20110,4,ROYAL.1,,,,
20110,5,ROYAL.2,,,,
20110,6,ROYAL.3,,,,
20120,0,ｷﾇ ﾉ ﾄﾞﾚｽ,Silk Dress,,Silk Dress,
20120,1,ﾕﾋﾞﾜ,Ring,,Ring,
20120,2,ﾕﾋﾞﾜ,Ring,,Ring,
20120,3,ﾕﾋﾞﾜ,Ring,,Ring,
20120,4,ﾕﾋﾞﾜ,Ring,,Ring,
20120,5,ﾄﾞﾚｽ,Dress,,Dress,
20120,6,ｸﾋﾞｶｻﾞﾘ,Necklace,,Necklace,
20120,7,ﾕﾋﾞﾜ(ｷﾝ),Gold Ring,,Gold Ring,
20120,8,ﾕﾋﾞﾜ(ｷﾝ),Gold Ring,,Gold Ring,
20120,9,ｷﾝ ﾉ ｿｰﾄﾞ,Golden Sword,,Golden Sword,
20120,10,ｶﾝﾑﾘ,Crown,,Crown,
20120,11,ｲﾔﾘﾝｸﾞx2,Earring x2,,Earring x2,
20120,12,ﾄﾞﾚｽ,Dress,,Dress,
20120,13,ﾄﾞﾚｽ,Dress,,Dress,
20120,14,ﾕﾋﾞﾜ(ﾀﾞｲﾔ),Diamond Earring,,Diamond Earring,
30000,0,ｻﾝｿﾞｸ,Bandit,,Bandit,Or Bandits
30001,0,ｸﾞﾘｽﾞﾘｰ･ﾍﾞｱｰ,Grizzly Bear,,Grizzly Bear,
30002,0,ﾓﾝｽﾀｰ,Monster,,Monster,
30003,0,ｼﾞｬｲｱﾝﾄ ｽﾈｰｸ,Giant Snake,,Giant Snake,
30004,0,ｼﾞｬｲｱﾝﾄ ｽﾊﾟｲﾀﾞｰ,Giant Spider,,Giant Spider,
30005,0,ﾜｶｲ ﾑｽﾒ,Young Girl,,Young Girl,
30006,0,ｾﾝﾆﾝ,Hermit,,Hermit,"Could also mean ""mountain man"", ""full-time service"" or ""election"""
30007,0,ｷｼ,Knight,,Knight,"Could also mean ""shore"" or ""banner"""
30008,0,ﾄﾞﾗｺﾞﾝ,Dragon,,Dragon,
30009,0,ｻﾝｿﾞｸ,Bandit,,Bandit,
30010,0,ｻﾝｿﾞｸ ﾉ ﾘｰﾀﾞｰ,Bandit Leader,,Bandit Leader,
,,,,,,